id,value
id_0,19.94533565162152
id_1,49.56988129788343
id_2,11.05764976272758
id_3,22.104264650804623
id_4,6.486073851987072
id_5,25.189362964417896
id_6,32.11272038120593
id_7,14.781944371472452
id_8,39.699133662696354
id_9,24.10603686770237
id_10,29.248207810994604
id_11,46.35798401667037
id_12,27.799049533868015
id_13,31.81457612073972
id_14,18.59713178848535
id_15,11.981394101762977
id_16,40.234960184382885
id_17,17.286262128925017
id_18,12.062235641138132
id_19,12.201735001399223
id_20,10.862072979783598
id_21,25.5208038492848
id_22,33.26694824438417
id_23,9.354687948132671
id_24,48.92850269528811
id_25,36.392423770698166
id_26,23.584183553061443
id_27,3.2976453067476896
id_28,22.97180781439465
id_29,29.240760989844055
id_30,13.975217161829374
id_31,8.490720799844501
id_32,12.489692576659603
id_33,8.011538704262295
id_34,11.287664857889203
id_35,33.7315899867035
id_36,15.558838823142104
id_37,20.601321173092764
id_38,3.861595091017622
id_39,49.20803830358303
id_40,37.41358439205517
id_41,13.632227077056081
id_42,42.07916781911295
id_43,14.473681680350744
id_44,35.38746960789766
id_45,36.881235307449124
id_46,43.850521104887456
id_47,32.56237623001306
id_48,44.77042945839992
id_49,31.322023267556037
id_50,23.474834718955442
id_51,16.277000574317956
id_52,31.32074433653722
id_53,17.096128943866592
id_54,28.6115855335911
id_55,30.967341587423824
id_56,20.053791004332833
id_57,16.865096061287044
id_58,27.450333147940015
id_59,23.716666624435483
id_60,9.484109183043929
id_61,15.05456587575517
id_62,22.830074378996745
id_63,42.24684229479808
id_64,39.16369217115819
id_65,21.61250203828912
id_66,29.782203378697695
id_67,40.821801857846054
id_68,24.109687409059052
id_69,31.729250632969286
id_70,49.450875880310534
id_71,45.00135387962942
id_72,30.666883765096653
id_73,11.255306798417266
id_74,11.811808432445648
id_75,28.100269357690525
id_76,49.457720113778954
id_77,1.576703754385277
id_78,31.24434059046693
id_79,32.34376738523116
id_80,5.844462162688541
id_81,17.599797596966983
id_82,5.991470520762725
id_83,24.460684973309945
id_84,9.133904079681711
id_85,4.319202961247036
id_86,11.905186438996315
id_87,7.436292866853464
id_88,18.29879045065558
id_89,20.166998899697344
id_90,26.60846032159084
id_91,10.112093540456549
id_92,10.349814733990065
id_93,7.814184951678921
id_94,28.084287081350187
id_95,13.26914283930035
id_96,12.31771733753292
id_97,7.517778365958683
id_98,8.374157278840977
id_99,4.879692677703497
id_100,8.76928431515765
id_101,13.076538724712542
id_102,9.176399950772023
id_103,5.359069428950044
id_104,9.251365374579605
id_105,27.336978713350724
id_106,19.89629987499429
id_107,6.515690835627992
id_108,12.561820414071086
id_109,11.195083331837077
id_110,8.547811654599503
id_111,10.566607673707184
id_112,12.695918769033186
id_113,19.086833808729697
id_114,13.371107336418705
id_115,13.155032360983851
id_116,3.747610599677485
id_117,33.19007488375719
id_118,19.080295911322875
id_119,1.0837666325059305
id_120,-0.391188525054619
id_121,6.393598811998002
id_122,8.119174286728814
id_123,8.641554119308774
id_124,5.696114947012811
id_125,18.723703896758913
id_126,15.376531985870574
id_127,5.010880191679793
id_128,13.59437366478883
id_129,4.8511171965186275
id_130,-2.7026153804991075
id_131,26.23605453296183
id_132,8.947968324636816
id_133,11.514696831217524
id_134,19.332232349176373
id_135,17.622849570683687
id_136,6.458645134139938
id_137,16.865726356043123
id_138,63.14731865180256
id_139,45.087704701747626
id_140,21.022834629253193
id_141,11.61921289528118
id_142,19.33075680630323
id_143,4.253804964444194
id_144,9.190451166247545
id_145,7.965844282456756
id_146,14.248773332222877
id_147,4.562202747514529
id_148,8.335925641638767
id_149,11.065677266493596
id_150,34.46525553451547
id_151,14.941022408887505
id_152,16.42947330225169
id_153,10.617768807085822
id_154,10.875169696086697
id_155,17.347433355874124
id_156,16.461615371390163
id_157,29.45302194815489
id_158,1.9646427536097069
id_159,17.894867052649797
id_160,29.700825413241464
id_161,15.131604252735826
id_162,51.0329266184884
id_163,11.608867907405848
id_164,26.17715561916101
id_165,17.65622326227433
id_166,18.219736230198727
id_167,-0.2168923887983718
id_168,53.932378573800335
id_169,10.250389064078268
id_170,10.713843459346425
id_171,55.11795362294309
id_172,15.440407117556884
id_173,1.3154723841711835
id_174,17.153120758337558
id_175,-2.2010401052962294
id_176,6.646252278917674
id_177,13.046976417351228
id_178,14.08343320192887
id_179,17.66130588509725
id_180,34.05106070369485
id_181,26.844805861714356
id_182,21.208206119062027
id_183,9.829154253417848
id_184,4.029155702977235
id_185,32.97771620294709
id_186,27.61231263825229
id_187,27.759382325955485
id_188,13.170961132171668
id_189,18.290264709917643
id_190,11.712042358318252
id_191,10.94581234083461
id_192,23.48724773579782
id_193,49.52787889881473
id_194,20.74375815233381
id_195,7.638115961011256
id_196,49.785203322144824
id_197,12.311610462944122
id_198,15.913652098703544
id_199,15.068357269134385
id_200,103.58754902690931
id_201,17.798901954329427
id_202,47.14657557371101
id_203,6.18980672092054
id_204,46.75598002870365
id_205,29.03736170861366
id_206,12.051049875674362
id_207,11.744224994140634
id_208,48.5036001942804
id_209,11.08644450749344
id_210,32.45163718202459
id_211,53.45998119039636
id_212,14.593471626700731
id_213,87.82662887559312
id_214,33.521915482349996
id_215,57.53463180580646
id_216,74.7555057114165
id_217,58.02877663032272
id_218,24.064547589952532
id_219,15.570417658855124
id_220,23.45984023490513
id_221,40.74886262324042
id_222,20.89041614603766
id_223,29.757328277231178
id_224,34.71313705332031
id_225,7.461666218832875
id_226,2.4845206723311186
id_227,63.68439520140629
id_228,24.01915190811413
id_229,-1.7600116532080836
id_230,30.09998288297142
id_231,12.55210424235949
id_232,16.271010153626037
id_233,5.580201818781731
id_234,13.838330774766284
id_235,22.332596336481515
id_236,9.920374183500016
id_237,4.29036233566725
id_238,17.750647734668263
id_239,8.67363369726636
